lng1,lat1,lng2,lat2
66.39159363,33.98299275,129.1351987,35.1668896
20.35918350,60.25403213,129.1351987,35.1668896
19.87170014,41.00017358,129.1351987,35.1668896
3.19771194,27.89861690,129.1351987,35.1668896
-170.69501750,-14.30634641,129.1351987,35.1668896
1.55201340,42.54057088,129.1351987,35.1668896
16.70933622,-12.16469683,129.1351987,35.1668896
-63.06861300,18.22053521,129.1351987,35.1668896
10.48095703,-45.13806295,129.1351987,35.1668896
-61.42014426,17.48060423,129.1351987,35.1668896
-64.97897469,-38.01529308,129.1351987,35.1668896
45.01072318,40.13475528,129.1351987,35.1668896
-69.96833800,12.52109661,129.1351987,35.1668896
133.55540944,-26.29594646,129.1351987,35.1668896
13.18776731,47.63125476,129.1351987,35.1668896
47.46706372,40.35321757,129.1351987,35.1668896
-77.68192453,24.45991732,129.1351987,35.1668896
50.65932354,25.90740996,129.1351987,35.1668896
90.49915527,24.08273251,129.1351987,35.1668896
-59.54319600,13.19383077,129.1351987,35.1668896
27.95338900,53.58628747,129.1351987,35.1668896
4.46993600,50.49593874,129.1351987,35.1668896
-88.01424956,17.21153631,129.1351987,35.1668896
2.29386134,9.37180859,129.1351987,35.1668896
-64.76182765,32.31995785,129.1351987,35.1668896
90.43360300,27.50752756,129.1351987,35.1668896
-65.19265691,-16.74518128,129.1351987,35.1668896
-68.28831170,12.17229702,129.1351987,35.1668896
17.81640910,44.00040856,129.1351987,35.1668896
24.22344422,-22.18279485,129.1351987,35.1668896
3.41319600,-54.42316906,129.1351987,35.1668896
-53.33152600,-11.80965046,129.1351987,35.1668896
72.42425280,-7.33461519,129.1351987,35.1668896
114.60132823,4.54189364,129.1351987,35.1668896
25.48583200,42.70160678,129.1351987,35.1668896
-1.56159100,12.22492458,129.1351987,35.1668896
29.88592902,-3.40499707,129.1351987,35.1668896
-23.60517010,15.11988711,129.1351987,35.1668896
104.84814273,12.83288883,129.1351987,35.1668896
12.72825915,7.38622543,129.1351987,35.1668896
-106.69833150,60.36196817,129.1351987,35.1668896
-81.25459800,19.31322102,129.1351987,35.1668896
20.64281514,6.82541830,129.1351987,35.1668896
18.78714064,14.80342407,129.1351987,35.1668896
-71.40014474,-38.01760790,129.1351987,35.1668896
103.55819197,36.71457440,129.1351987,35.1668896
105.68083796,-10.49170619,129.1351987,35.1668896
96.84689104,-12.12890685,129.1351987,35.1668896
-73.53927436,3.68182320,129.1351987,35.1668896
43.33330200,-11.64529989,129.1351987,35.1668896
15.69033190,-0.68967806,129.1351987,35.1668896
-159.77766900,-21.23673066,129.1351987,35.1668896
-84.09949534,9.98427463,129.1351987,35.1668896
-5.49214636,7.59684148,129.1351987,35.1668896
16.29039507,44.81372482,129.1351987,35.1668896
-79.00064743,21.54513189,129.1351987,35.1668896
-69.02160369,12.20710309,129.1351987,35.1668896
33.42986100,35.12450768,129.1351987,35.1668896
15.53888197,49.76026136,129.1351987,35.1668896
127.48812834,40.00785500,129.1351987,35.1668896
23.01110741,-4.05373938,129.1351987,35.1668896
9.41938953,54.71794021,129.1351987,35.1668896
42.65344839,11.75959257,129.1351987,35.1668896
-61.37097400,15.41473963,129.1351987,35.1668896
-70.16264900,18.73076761,129.1351987,35.1668896
-78.55693916,-1.22919037,129.1351987,35.1668896
30.80250000,26.71650873,129.1351987,35.1668896
-88.89652800,13.79043561,129.1351987,35.1668896
10.26789700,1.65068442,129.1351987,35.1668896
39.61204792,15.21227764,129.1351987,35.1668896
25.38165099,58.74041141,129.1351987,35.1668896
31.47960891,-26.53892570,129.1351987,35.1668896
39.84148164,9.10727589,129.1351987,35.1668896
14.26843140,48.76380654,129.1351987,35.1668896
-59.52361100,-51.78838251,129.1351987,35.1668896
-6.91180400,61.88590482,129.1351987,35.1668896
178.06503600,-17.71219757,129.1351987,35.1668896
26.36339137,64.69610892,129.1351987,35.1668896
2.60926281,46.48372145,129.1351987,35.1668896
-52.97746057,4.01114381,129.1351987,35.1668896
-149.40683900,-17.66243898,129.1351987,35.1668896
69.34856300,-49.27235903,129.1351987,35.1668896
11.43916591,-0.43426435,129.1351987,35.1668896
-15.35956748,13.15921146,129.1351987,35.1668896
44.17329916,41.82754301,129.1351987,35.1668896
10.97887975,50.82871201,129.1351987,35.1668896
-1.29234904,7.69154199,129.1351987,35.1668896
-5.34404779,36.14864641,129.1351987,35.1668896
24.53794505,38.52254746,129.1351987,35.1668896
-34.38651956,71.42932629,129.1351987,35.1668896
-61.67899400,12.11644807,129.1351987,35.1668896
-61.55099400,16.26472785,129.1351987,35.1668896
144.80747791,13.44410137,129.1351987,35.1668896
-89.96707712,15.72598421,129.1351987,35.1668896
-2.58527200,49.46565975,129.1351987,35.1668896
-11.31711839,9.94301472,129.1351987,35.1668896
-15.18040700,11.80050682,129.1351987,35.1668896
-58.72692293,4.47957059,129.1351987,35.1668896
-72.79607526,19.07430861,129.1351987,35.1668896
73.50415800,-53.08168847,129.1351987,35.1668896
12.45340142,41.90377810,129.1351987,35.1668896
-87.01643713,14.64994423,129.1351987,35.1668896
114.14657786,22.33728531,129.1351987,35.1668896
19.35499657,46.97670384,129.1351987,35.1668896
-18.57038755,64.99294495,129.1351987,35.1668896
78.50146222,20.46549519,129.1351987,35.1668896
121.18329789,-2.46229680,129.1351987,35.1668896
51.28204814,31.40240324,129.1351987,35.1668896
43.19590056,32.90170182,129.1351987,35.1668896
-8.21092302,53.10101628,129.1351987,35.1668896
-4.54805400,54.23562697,129.1351987,35.1668896
34.91753797,30.85883075,129.1351987,35.1668896
12.67725128,41.77810840,129.1351987,35.1668896
-77.29750600,18.10838487,129.1351987,35.1668896
137.67066061,37.51848822,129.1351987,35.1668896
-2.13124600,49.21440771,129.1351987,35.1668896
36.37575510,31.31616588,129.1351987,35.1668896
68.81334444,45.38592596,129.1351987,35.1668896
37.97212297,0.19582452,129.1351987,35.1668896
-157.36259310,1.87085244,129.1351987,35.1668896
47.71798405,29.43253341,129.1351987,35.1668896
74.25524574,41.11509878,129.1351987,35.1668896
103.61611347,17.76075593,129.1351987,35.1668896
24.54826936,56.86697515,129.1351987,35.1668896
35.66454309,34.08249284,129.1351987,35.1668896
28.23361200,-29.60303205,129.1351987,35.1668896
-9.39103485,6.44154681,129.1351987,35.1668896
18.19513987,27.06902914,129.1351987,35.1668896
9.55537700,47.16587383,129.1351987,35.1668896
23.80987587,55.25095948,129.1351987,35.1668896
6.12958700,49.81327712,129.1351987,35.1668896
113.54387700,22.19872287,129.1351987,35.1668896
46.97898228,-19.79858543,129.1351987,35.1668896
34.14223524,-12.48684092,129.1351987,35.1668896
106.54609050,4.97345793,129.1351987,35.1668896
73.13373313,-0.64224221,129.1351987,35.1668896
-1.96368730,17.69385811,129.1351987,35.1668896
14.43687877,35.89706403,129.1351987,35.1668896
168.75512619,7.30130732,129.1351987,35.1668896
-61.02417600,14.64128045,129.1351987,35.1668896
-10.21573334,20.28331239,129.1351987,35.1668896
57.56588291,-20.28368188,129.1351987,35.1668896
45.16624200,-12.82744522,129.1351987,35.1668896
-102.33305344,22.92036676,129.1351987,35.1668896
158.21507170,6.88747377,129.1351987,35.1668896
6.75444978,43.70463620,129.1351987,35.1668896
104.30808978,46.80556270,129.1351987,35.1668896
19.09699321,42.71699590,129.1351987,35.1668896
-62.18736600,16.74774077,129.1351987,35.1668896
-7.26839325,31.95441758,129.1351987,35.1668896
33.81570282,-19.07617816,129.1351987,35.1668896
96.54949272,19.20985380,129.1351987,35.1668896
16.72161918,-22.70965620,129.1351987,35.1668896
166.93270463,-0.52586763,129.1351987,35.1668896
83.98119373,28.28430770,129.1351987,35.1668896
4.98914998,52.33939951,129.1351987,35.1668896
165.58783760,-21.26104020,129.1351987,35.1668896
171.76586181,-40.95025298,129.1351987,35.1668896
-84.82270352,12.91806226,129.1351987,35.1668896
8.23547860,17.23446679,129.1351987,35.1668896
7.82933373,9.02165273,129.1351987,35.1668896
-169.86585571,-19.04976362,129.1351987,35.1668896
167.94303023,-29.02801043,129.1351987,35.1668896
21.74527900,41.60059479,129.1351987,35.1668896
145.67390000,15.09783636,129.1351987,35.1668896
13.50069228,65.04680297,129.1351987,35.1668896
56.69230596,20.69906846,129.1351987,35.1668896
70.34487986,29.90335974,129.1351987,35.1668896
134.57291496,7.49856307,129.1351987,35.1668896
35.21936714,32.26367103,129.1351987,35.1668896
-80.04603702,8.52135102,129.1351987,35.1668896
